15

0	0	23	467	267	330	581	0	638	0	610	0	614	804	0
0	0	345	89	981	992	0	844	670	0	406	0	42	884	242
23	345	0	0	590	320	0	0	0	0	0	0	374	0	912
467	89	0	0	704	0	0	0	378	160	279	0	533	0	895
267	981	590	704	0	0	0	833	0	0	400	912	0	0	760
330	992	320	0	0	0	0	655	731	267	0	0	435	0	0
581	0	0	0	0	0	0	609	292	0	230	0	0	0	1
0	844	0	0	833	655	609	0	165	0	684	597	104	0	111
638	670	0	378	0	731	292	165	0	0	0	144	0	321	730
0	0	0	160	0	267	0	0	0	0	0	0	508	0	0
610	406	0	279	400	0	230	684	0	0	0	629	0	0	0
0	0	0	0	912	0	0	597	144	0	629	0	0	0	855
614	42	374	533	0	435	0	104	0	508	0	0	0	790	273
804	884	0	0	0	0	0	0	321	0	0	0	790	0	0
0	242	912	895	760	0	1	111	730	0	0	855	273	0	0
