22

0	668	409	0	0	926	919	165	217	0	0	0	0	446	808	962	0	126	0	0	0	0
668	0	0	984	0	0	569	0	583	140	0	603	0	0	318	0	0	115	0	0	0	705
409	0	0	0	0	160	0	0	758	580	515	0	215	656	0	714	0	0	0	0	833	992
0	984	0	0	881	891	0	706	0	0	0	0	562	0	729	0	0	569	0	251	154	0
0	0	0	881	0	65	471	490	0	586	0	861	326	807	587	520	777	893	0	0	98	0
926	0	160	891	65	0	0	0	0	0	0	0	920	0	975	0	0	577	0	0	173	0
919	569	0	0	471	0	0	874	482	7	0	885	0	0	268	516	0	0	742	960	0	349
165	0	0	706	490	0	874	0	431	666	0	617	0	930	568	120	501	999	820	0	0	0
217	583	758	0	0	0	482	431	0	82	370	0	341	0	0	0	259	288	684	154	0	0
0	140	580	0	586	0	7	666	82	0	0	983	0	103	0	131	0	0	20	0	0	599
0	0	515	0	0	0	0	0	370	0	0	0	0	0	0	282	658	648	0	0	75	29
0	603	0	0	861	0	885	617	0	983	0	0	0	0	573	0	437	0	0	0	0	428
0	0	215	562	326	920	0	0	341	0	0	0	0	0	0	737	977	846	0	0	126	0
446	0	656	0	807	0	0	930	0	103	0	0	0	0	808	0	858	0	0	0	544	618
808	318	0	729	587	975	268	568	0	0	0	573	0	808	0	0	0	0	0	0	378	96
962	0	714	0	520	0	516	120	0	131	282	0	737	0	0	0	761	0	0	210	0	641
0	0	0	0	777	0	0	501	259	0	658	437	977	858	0	761	0	0	354	944	0	0
126	115	0	569	893	577	0	999	288	0	648	0	846	0	0	0	0	0	0	895	423	296
0	0	0	0	0	0	742	820	684	20	0	0	0	0	0	0	354	0	0	658	0	909
0	0	0	251	0	0	960	0	154	0	0	0	0	0	0	210	944	895	658	0	0	546
0	0	833	154	98	173	0	0	0	0	75	0	126	544	378	0	0	423	0	0	0	0
0	705	992	0	0	0	349	0	0	599	29	428	0	618	96	641	0	296	909	546	0	0
