17

0	0	0	973	996	0	0	275	0	0	0	29	455	677	0	0	269
0	0	0	0	0	0	0	0	0	0	226	0	14	82	136	872	0
0	0	0	729	860	33	0	0	379	0	706	706	0	614	0	910	465
973	0	729	0	0	0	0	0	0	0	0	0	402	567	0	506	455
996	0	860	0	0	0	228	0	0	0	293	674	0	217	665	0	101
0	0	33	0	0	0	684	152	0	0	661	0	536	44	326	0	163
0	0	0	0	228	684	0	0	609	706	0	593	972	949	0	0	0
275	0	0	0	0	152	0	0	0	0	0	298	726	507	0	586	47
0	0	379	0	0	0	609	0	0	0	0	803	73	0	683	641	601
0	0	0	0	0	0	706	0	0	0	754	428	44	984	0	0	0
0	226	706	0	293	661	0	0	0	754	0	0	459	0	260	0	523
29	0	706	0	674	0	593	298	803	428	0	0	391	574	509	624	0
455	14	0	402	0	536	972	726	73	44	459	391	0	144	0	0	990
677	82	614	567	217	44	949	507	0	984	0	574	144	0	0	0	0
0	136	0	0	665	326	0	0	683	0	260	509	0	0	0	705	367
0	872	910	506	0	0	0	586	641	0	0	624	0	0	705	0	0
269	0	465	455	101	163	0	47	601	0	523	0	990	0	367	0	0
