21

0	338	422	511	0	131	0	0	304	0	0	3	0	0	506	982	0	0	0	147	731
338	0	0	14	28	763	111	879	0	981	0	0	0	0	0	454	816	0	0	168	0
422	0	0	0	0	539	0	898	0	49	590	980	734	879	0	0	420	0	810	96	0
511	14	0	0	0	966	732	0	761	0	934	824	0	0	471	0	575	0	557	187	0
0	28	0	0	0	0	295	682	802	0	0	520	0	0	788	532	956	861	639	254	0
131	763	539	966	0	0	916	623	0	0	68	331	0	675	35	0	0	0	0	970	584
0	111	0	732	295	916	0	0	0	0	0	0	0	0	333	0	855	524	0	0	0
0	879	898	0	682	623	0	0	0	897	317	788	250	454	114	431	370	0	0	0	0
304	0	0	761	802	0	0	0	0	457	0	0	110	0	242	239	451	199	0	581	817
0	981	49	0	0	0	0	897	457	0	701	0	0	772	0	563	409	666	788	0	0
0	0	590	934	0	68	0	317	0	701	0	1000	744	0	0	75	495	0	0	0	0
3	0	980	824	520	331	0	788	0	0	1000	0	529	0	660	0	566	840	0	0	0
0	0	734	0	0	0	0	250	110	0	744	529	0	973	0	281	265	941	681	219	0
0	0	879	0	0	675	0	454	0	772	0	0	973	0	0	0	164	0	934	0	0
506	0	0	471	788	35	333	114	242	0	0	660	0	0	0	0	773	0	0	449	53
982	454	0	0	532	0	0	431	239	563	75	0	281	0	0	0	0	0	0	0	0
0	816	420	575	956	0	855	370	451	409	495	566	265	164	773	0	0	0	0	0	0
0	0	0	0	861	0	524	0	199	666	0	840	941	0	0	0	0	0	271	441	729
0	0	810	557	639	0	0	0	0	788	0	0	681	934	0	0	0	271	0	256	895
147	168	96	187	254	970	0	0	581	0	0	0	219	0	449	0	0	441	256	0	0
731	0	0	0	0	584	0	0	817	0	0	0	0	0	53	0	0	729	895	0	0
