18

0	0	0	0	76	0	0	0	188	0	0	0	516	0	0	78	0	415
0	0	0	0	266	0	0	0	229	0	18	729	0	0	848	693	677	0
0	0	0	0	145	8	244	323	927	0	665	32	0	451	0	962	0	712
0	0	0	0	0	829	822	317	24	742	0	864	548	332	0	30	0	318
76	266	145	0	0	0	0	357	49	0	0	200	0	0	0	0	29	0
0	0	8	829	0	0	0	0	86	0	0	998	263	0	975	0	0	0
0	0	244	822	0	0	0	0	600	860	0	0	0	0	484	933	0	0
0	0	323	317	357	0	0	0	0	730	0	546	145	81	546	980	0	838
188	229	927	24	49	86	600	0	0	0	0	0	658	714	0	388	387	0
0	0	0	742	0	0	860	730	0	0	0	701	190	0	0	0	0	0
0	18	665	0	0	0	0	0	0	0	0	470	0	0	0	512	678	732
0	729	32	864	200	998	0	546	0	701	470	0	0	963	0	9	584	0
516	0	0	548	0	263	0	145	658	190	0	0	0	0	362	0	920	288
0	0	451	332	0	0	0	81	714	0	0	963	0	0	0	0	0	0
0	848	0	0	0	975	484	546	0	0	0	0	362	0	0	80	0	564
78	693	962	30	0	0	933	980	388	0	512	9	0	0	80	0	786	0
0	677	0	0	29	0	0	0	387	0	678	584	920	0	0	786	0	386
415	0	712	318	0	0	0	838	0	0	732	0	288	0	564	0	386	0
