24

0	0	922	0	0	318	0	0	806	462	0	832	310	0	318	405	983	0	0	0	556	0	0	0
0	0	983	861	0	0	0	633	0	361	0	0	148	954	0	437	0	468	0	143	464	0	337	0
922	983	0	0	879	100	24	151	647	0	0	32	0	0	517	0	785	0	528	0	790	0	0	471
0	861	0	0	0	0	346	0	0	0	108	146	108	466	0	913	0	0	0	0	0	0	0	105
0	0	879	0	0	22	0	0	703	0	179	0	319	0	468	0	493	0	0	887	732	373	0	0
318	0	100	0	22	0	0	0	771	275	0	0	0	0	0	0	0	0	230	207	0	0	0	482
0	0	24	346	0	0	0	451	3	0	0	743	0	79	935	0	0	0	616	940	465	0	798	564
0	633	151	0	0	0	451	0	516	0	860	557	416	0	968	0	281	732	0	0	631	954	0	420
806	0	647	0	703	771	3	516	0	0	870	0	825	685	0	0	516	813	562	63	928	105	127	971
462	361	0	0	0	275	0	0	0	0	0	477	0	0	757	0	0	0	684	682	638	0	0	0
0	0	0	108	179	0	0	860	870	0	0	537	0	0	0	673	0	0	220	677	233	0	868	0
832	0	32	146	0	0	743	557	0	477	537	0	57	0	0	288	0	375	122	911	0	719	0	304
310	148	0	108	319	0	0	416	825	0	0	57	0	372	0	0	0	992	0	129	0	0	0	0
0	954	0	466	0	0	79	0	685	0	0	0	372	0	0	0	0	0	225	0	30	0	863	0
318	0	517	0	468	0	935	968	0	757	0	0	0	0	0	171	503	0	0	0	0	3	435	0
405	437	0	913	0	0	0	0	0	0	673	288	0	0	171	0	0	440	0	0	902	0	968	266
983	0	785	0	493	0	0	281	516	0	0	0	0	0	503	0	0	0	500	0	238	17	417	659
0	468	0	0	0	0	0	732	813	0	0	375	992	0	0	440	0	0	750	807	341	654	43	949
0	0	528	0	0	230	616	0	562	684	220	122	0	225	0	0	500	750	0	0	0	0	504	0
0	143	0	0	887	207	940	0	63	682	677	911	129	0	0	0	0	807	0	0	991	831	683	798
556	464	790	0	732	0	465	631	928	638	233	0	0	30	0	902	238	341	0	991	0	780	692	0
0	0	0	0	373	0	0	954	105	0	0	719	0	0	3	0	17	654	0	831	780	0	0	0
0	337	0	0	0	0	798	0	127	0	868	0	0	863	435	968	417	43	504	683	692	0	0	403
0	0	471	105	0	482	564	420	971	0	0	304	0	0	0	266	659	949	0	798	0	0	403	0
