14

0	280	0	535	665	955	850	901	595	0	0	897	0	865
280	0	220	502	0	0	0	695	0	0	944	0	0	609
0	220	0	664	700	0	0	0	884	728	0	0	537	53
535	502	664	0	46	678	815	460	0	940	276	416	209	896
665	0	700	46	0	0	885	0	149	503	0	323	691	551
955	0	0	678	0	0	0	0	0	0	719	859	780	0
850	0	0	815	885	0	0	353	438	0	665	0	909	0
901	695	0	460	0	0	353	0	0	713	0	0	0	642
595	0	884	0	149	0	438	0	0	65	0	0	0	764
0	0	728	940	503	0	0	713	65	0	788	0	260	0
0	944	0	276	0	719	665	0	0	788	0	962	0	793
897	0	0	416	323	859	0	0	0	0	962	0	696	44
0	0	537	209	691	780	909	0	0	260	0	696	0	0
865	609	53	896	551	0	0	642	764	0	793	44	0	0
