16

0	945	0	0	0	0	52	0	730	0	0	363	798	944	0	0
945	0	336	361	572	0	881	0	528	426	0	0	201	805	428	0
0	336	0	838	0	0	0	0	0	0	314	0	963	850	408	477
0	361	838	0	0	0	0	225	0	386	0	301	581	949	377	472
0	572	0	0	0	742	0	641	0	0	0	534	0	63	690	0
0	0	0	0	742	0	724	0	80	0	489	9	366	871	424	0
52	881	0	0	0	724	0	0	0	377	0	0	0	0	0	0
0	0	0	225	641	0	0	0	22	0	240	0	574	0	0	257
730	528	0	0	0	80	0	22	0	0	0	68	82	783	0	0
0	426	0	386	0	0	377	0	0	0	0	798	0	200	234	124
0	0	314	0	0	489	0	240	0	0	0	370	0	888	0	164
363	0	0	301	534	9	0	0	68	798	370	0	0	0	0	501
798	201	963	581	0	366	0	574	82	0	0	0	0	757	883	317
944	805	850	949	63	871	0	0	783	200	888	0	757	0	225	47
0	428	408	377	690	424	0	0	0	234	0	0	883	225	0	292
0	0	477	472	0	0	0	257	0	124	164	501	317	47	292	0
