23

0	0	0	0	0	0	0	192	0	0	383	0	0	485	0	2	0	0	0	187	380	0	0
0	0	0	659	384	706	787	0	0	690	656	736	0	0	639	534	836	734	0	0	485	750	0
0	0	0	0	470	0	0	749	140	0	0	263	0	916	773	654	0	0	0	0	0	0	124
0	659	0	0	0	0	392	0	285	985	0	939	0	0	0	0	98	501	0	481	0	769	671
0	384	470	0	0	301	0	464	0	487	0	0	241	0	0	402	366	104	944	0	637	493	0
0	706	0	0	301	0	0	899	458	0	0	951	0	0	0	0	492	214	219	641	0	278	505
0	787	0	392	0	0	0	548	65	0	0	0	0	0	222	0	911	0	282	449	812	0	0
192	0	749	0	464	899	548	0	144	119	926	0	0	0	0	0	339	0	0	0	0	540	375
0	0	140	285	0	458	65	144	0	0	237	612	0	790	0	636	0	941	405	67	550	0	574
0	690	0	985	487	0	0	119	0	0	71	29	469	0	633	503	0	305	0	0	0	0	0
383	656	0	0	0	0	0	926	237	71	0	847	583	0	247	0	0	0	0	96	784	866	500
0	736	263	939	0	951	0	0	612	29	847	0	816	0	0	0	305	882	553	538	0	979	779
0	0	0	0	241	0	0	0	0	469	583	816	0	310	0	502	0	185	835	677	0	0	0
485	0	916	0	0	0	0	0	790	0	0	0	310	0	976	0	0	980	800	0	301	0	185
0	639	773	0	0	0	222	0	0	633	247	0	0	976	0	0	145	895	190	686	710	0	0
2	534	654	0	402	0	0	0	636	503	0	0	502	0	0	0	0	768	0	182	0	0	0
0	836	0	98	366	492	911	339	0	0	0	305	0	0	145	0	0	0	525	147	0	658	0
0	734	0	501	104	214	0	0	941	305	0	882	185	980	895	768	0	0	0	0	504	737	238
0	0	0	0	944	219	282	0	405	0	0	553	835	800	190	0	525	0	0	564	0	389	670
187	0	0	481	0	641	449	0	67	0	96	538	677	0	686	182	147	0	564	0	682	0	0
380	485	0	0	637	0	812	0	550	0	784	0	0	301	710	0	0	504	0	682	0	643	19
0	750	0	769	493	278	0	540	0	0	866	979	0	0	0	0	658	737	389	0	643	0	731
0	0	124	671	0	505	0	375	574	0	500	779	0	185	0	0	0	238	670	0	19	731	0
