20

0	135	2	0	568	232	448	0	324	280	176	144	328	978	0	255	198	831	865	0
135	0	653	766	63	0	442	233	750	700	691	0	0	0	0	0	0	659	120	0
2	653	0	653	0	758	0	813	0	0	353	0	0	0	0	442	0	967	236	0
0	766	653	0	0	507	757	0	0	0	302	0	0	0	336	122	337	777	0	0
568	63	0	0	0	72	0	0	0	940	241	290	69	271	117	89	307	310	0	228
232	0	758	507	72	0	738	0	723	0	0	0	401	437	489	0	0	411	466	0
448	442	0	757	0	738	0	623	657	0	874	0	0	0	445	173	0	540	993	912
0	233	813	0	0	0	623	0	0	0	0	954	472	0	0	0	422	753	0	0
324	750	0	0	0	723	657	0	0	0	183	262	0	332	0	0	78	0	0	0
280	700	0	0	940	0	0	0	0	0	686	0	0	0	316	9	0	0	435	0
176	691	353	302	241	0	874	0	183	686	0	809	699	0	0	633	0	0	953	920
144	0	0	0	290	0	0	954	262	0	809	0	0	18	52	592	0	567	0	478
328	0	0	0	69	401	0	472	0	0	699	0	0	0	864	321	0	998	0	0
978	0	0	0	271	437	0	0	332	0	0	18	0	0	0	777	0	0	326	935
0	0	0	336	117	489	445	0	0	316	0	52	864	0	0	314	0	459	987	0
255	0	442	122	89	0	173	0	0	9	633	592	321	777	314	0	0	0	0	0
198	0	0	337	307	0	0	422	78	0	0	0	0	0	0	0	0	246	395	236
831	659	967	777	310	411	540	753	0	0	0	567	998	0	459	0	246	0	839	0
865	120	236	0	0	466	993	0	0	435	953	0	0	326	987	0	395	839	0	0
0	0	0	0	228	0	912	0	0	0	920	478	0	935	0	0	236	0	0	0
