19

0	255	0	307	830	625	651	0	0	0	0	915	892	455	0	0	0	60	0
255	0	0	207	0	64	14	955	153	358	0	400	27	659	370	23	0	898	0
0	0	0	0	0	0	0	0	872	930	54	536	283	329	633	0	0	105	29
307	207	0	0	0	339	873	441	425	0	3	573	0	382	662	56	98	0	0
830	0	0	0	0	0	0	0	65	0	836	0	745	0	69	0	92	0	0
625	64	0	339	0	0	0	19	650	0	102	0	862	0	0	0	0	0	473
651	14	0	873	0	0	0	0	491	0	90	0	0	0	48	0	571	0	0
0	955	0	441	0	19	0	0	872	431	492	0	0	931	758	0	137	0	994
0	153	872	425	65	650	491	872	0	0	0	208	64	0	0	954	0	587	469
0	358	930	0	0	0	0	431	0	0	30	0	0	0	0	766	618	503	235
0	0	54	3	836	102	90	492	0	30	0	175	362	950	0	733	2	0	418
915	400	536	573	0	0	0	0	208	0	175	0	0	586	0	0	0	0	0
892	27	283	0	745	862	0	0	64	0	362	0	0	0	520	693	787	0	762
455	659	329	382	0	0	0	931	0	0	950	586	0	0	208	0	0	0	0
0	370	633	662	69	0	48	758	0	0	0	0	520	208	0	218	0	0	0
0	23	0	56	0	0	0	0	954	766	733	0	693	0	218	0	946	725	494
0	0	0	98	92	0	571	137	0	618	2	0	787	0	0	946	0	877	0
60	898	105	0	0	0	0	0	587	503	0	0	0	0	0	725	877	0	0
0	0	29	0	0	473	0	994	469	235	418	0	762	0	0	494	0	0	0
