26

0	0	674	0	0	296	0	0	0	299	925	0	386	808	0	37	799	0	0	0	419	0	296	984	81	292
0	0	973	0	39	261	70	0	0	0	0	0	0	685	0	114	607	282	283	479	0	622	917	0	416	0
674	973	0	586	462	240	576	0	546	185	883	649	419	877	90	0	0	863	0	0	0	0	994	0	0	939
0	0	586	0	391	0	926	0	754	0	450	659	856	0	704	0	0	0	0	0	0	0	170	683	92	301
0	39	462	391	0	454	0	499	435	0	65	0	0	0	732	135	885	0	50	464	0	905	68	748	0	0
296	261	240	0	454	0	330	255	694	347	760	910	0	0	0	1000	0	831	0	481	0	698	884	0	23	0
0	70	576	926	0	330	0	0	0	0	157	0	0	138	692	0	955	0	0	549	0	573	511	353	0	467
0	0	0	0	499	255	0	0	0	0	0	310	430	989	30	299	0	0	0	544	359	0	835	0	770	589
0	0	546	754	435	694	0	0	0	0	0	581	209	0	0	824	0	0	286	0	0	488	0	0	252	0
299	0	185	0	0	347	0	0	0	0	0	506	804	0	382	0	0	479	57	0	342	0	137	0	288	879
925	0	883	450	65	760	157	0	0	0	0	0	0	0	0	852	0	0	0	0	0	0	0	0	195	771
0	0	649	659	0	910	0	310	581	506	0	0	531	850	0	200	0	122	729	0	0	490	0	0	479	847
386	0	419	856	0	0	0	430	209	804	0	531	0	0	0	0	0	854	0	0	0	621	0	133	694	155
808	685	877	0	0	0	138	989	0	0	0	850	0	0	0	0	0	926	0	145	0	673	332	0	0	14
0	0	90	704	732	0	692	30	0	382	0	0	0	0	0	653	0	535	0	296	696	0	0	382	544	765
37	114	0	0	135	1000	0	299	824	0	852	200	0	0	653	0	0	0	0	490	353	831	679	450	284	622
799	607	0	0	885	0	955	0	0	0	0	0	0	0	0	0	0	0	952	0	0	514	454	0	198	931
0	282	863	0	0	831	0	0	0	479	0	122	854	926	535	0	0	0	281	285	883	268	0	0	856	411
0	283	0	0	50	0	0	0	286	57	0	729	0	0	0	0	952	281	0	0	0	415	361	0	784	0
0	479	0	0	464	481	549	544	0	0	0	0	0	145	296	490	0	285	0	0	430	0	0	213	0	0
419	0	0	0	0	0	0	359	0	342	0	0	0	0	696	353	0	883	0	430	0	495	0	0	0	0
0	622	0	0	905	698	573	0	488	0	0	490	621	673	0	831	514	268	415	0	495	0	0	608	47	394
296	917	994	170	68	884	511	835	0	137	0	0	0	332	0	679	454	0	361	0	0	0	0	355	0	0
984	0	0	683	748	0	353	0	0	0	0	0	133	0	382	450	0	0	0	213	0	608	355	0	171	578
81	416	0	92	0	23	0	770	252	288	195	479	694	0	544	284	198	856	784	0	0	47	0	171	0	22
292	0	939	301	0	0	467	589	0	879	771	847	155	14	765	622	931	411	0	0	0	394	0	578	22	0
