27

0	0	0	622	269	497	705	521	0	668	0	918	616	0	0	0	0	0	275	0	28	527	400	0	0	0	0
0	0	0	556	0	164	0	475	0	850	0	590	0	486	492	977	915	0	833	720	0	504	797	0	0	51	985
0	0	0	0	42	105	0	0	282	864	0	729	0	0	0	999	0	0	779	0	698	0	0	719	0	0	0
622	556	0	0	635	861	444	0	297	513	861	0	506	781	446	819	725	0	0	714	0	0	0	0	0	0	0
269	0	42	635	0	0	0	0	147	474	10	683	22	39	0	0	0	0	0	0	0	0	927	0	0	0	0
497	164	105	861	0	0	0	0	958	0	229	879	799	0	0	0	0	359	0	0	0	731	0	0	0	0	0
705	0	0	444	0	0	0	0	0	0	590	714	0	0	0	928	0	0	917	824	508	0	0	0	0	0	653
521	475	0	0	0	0	0	0	0	0	0	385	825	837	0	679	195	712	0	378	647	286	0	0	0	0	202
0	0	282	297	147	958	0	0	0	0	0	118	0	875	323	677	689	409	0	0	870	0	709	0	904	0	559
668	850	864	513	474	0	0	0	0	0	0	0	0	0	0	0	999	0	472	0	254	0	0	780	0	0	0
0	0	0	861	10	229	590	0	0	0	0	0	964	0	0	0	0	492	0	433	715	687	334	0	447	0	333
918	590	729	0	683	879	714	385	118	0	0	0	0	0	469	0	985	0	0	106	0	0	623	0	0	743	744
616	0	0	506	22	799	0	825	0	0	964	0	0	0	424	0	0	0	763	0	532	18	0	864	602	0	43
0	486	0	781	39	0	0	837	875	0	0	0	0	0	208	819	0	247	0	0	0	0	189	297	0	0	492
0	492	0	446	0	0	0	0	323	0	0	469	424	208	0	0	888	373	0	504	740	62	0	0	521	226	561
0	977	999	819	0	0	928	679	677	0	0	0	0	819	0	0	237	0	108	0	0	604	0	0	680	0	0
0	915	0	725	0	0	0	195	689	999	0	985	0	0	888	237	0	0	0	0	830	866	0	94	730	0	289
0	0	0	0	0	359	0	712	409	0	492	0	0	247	373	0	0	0	0	94	0	688	795	0	308	0	518
275	833	779	0	0	0	917	0	0	472	0	0	763	0	0	108	0	0	0	0	539	0	0	666	0	0	0
0	720	0	714	0	0	824	378	0	0	433	106	0	0	504	0	0	94	0	0	371	0	0	0	0	0	404
28	0	698	0	0	0	508	647	870	254	715	0	532	0	740	0	830	0	539	371	0	0	91	64	554	384	698
527	504	0	0	0	731	0	286	0	0	687	0	18	0	62	604	866	688	0	0	0	0	0	0	0	0	22
400	797	0	0	927	0	0	0	709	0	334	623	0	189	0	0	0	795	0	0	91	0	0	0	918	0	862
0	0	719	0	0	0	0	0	0	780	0	0	864	297	0	0	94	0	666	0	64	0	0	0	0	337	798
0	0	0	0	0	0	0	0	904	0	447	0	602	0	521	680	730	308	0	0	554	0	918	0	0	0	0
0	51	0	0	0	0	0	0	0	0	0	743	0	0	226	0	0	0	0	0	384	0	0	337	0	0	0
0	985	0	0	0	0	653	202	559	0	333	744	43	492	561	0	289	518	0	404	698	22	862	798	0	0	0
