25

0	285	0	646	0	63	0	539	749	517	765	139	786	291	0	170	0	0	0	866	0	0	0	372	956
285	0	0	514	743	954	904	744	486	410	69	0	836	0	640	0	988	287	113	232	0	570	294	960	10
0	0	0	0	997	0	663	468	0	7	532	374	587	868	0	0	823	944	0	0	0	0	0	511	0
646	514	0	0	403	104	41	0	343	0	0	0	496	517	0	390	0	562	0	0	325	0	0	985	588
0	743	997	403	0	0	392	0	463	0	904	676	0	0	0	0	0	0	0	233	135	0	0	155	0
63	954	0	104	0	0	171	0	353	0	313	491	0	0	0	0	0	0	0	0	427	0	0	0	535
0	904	663	41	392	171	0	145	653	49	689	0	0	0	885	354	0	0	132	848	0	979	745	0	0
539	744	468	0	0	0	145	0	157	0	0	199	171	314	0	373	497	0	445	143	0	809	381	181	0
749	486	0	343	463	353	653	157	0	55	781	584	0	809	665	0	0	419	0	282	700	0	697	682	0
517	410	7	0	0	0	49	0	55	0	435	405	994	0	377	658	0	0	205	126	0	494	689	770	819
765	69	532	0	904	313	689	0	781	435	0	0	352	53	722	0	0	0	512	0	343	0	0	0	944
139	0	374	0	676	491	0	199	584	405	0	0	0	774	374	846	0	489	0	101	0	0	705	0	791
786	836	587	496	0	0	0	171	0	994	352	0	0	0	0	774	477	599	876	757	0	0	97	589	266
291	0	868	517	0	0	0	314	809	0	53	774	0	0	0	498	0	0	0	0	0	0	0	0	0
0	640	0	0	0	0	885	0	665	377	722	374	0	0	0	0	622	398	850	179	90	988	0	650	942
170	0	0	390	0	0	354	373	0	658	0	846	774	498	0	0	0	534	0	51	0	0	0	885	617
0	988	823	0	0	0	0	497	0	0	0	0	477	0	622	0	0	965	0	0	487	608	868	69	0
0	287	944	562	0	0	0	0	419	0	0	489	599	0	398	534	965	0	224	274	803	632	0	905	529
0	113	0	0	0	0	132	445	0	205	512	0	876	0	850	0	0	224	0	0	0	704	0	324	0
866	232	0	0	233	0	848	143	282	126	0	101	757	0	179	51	0	274	0	0	0	174	0	584	0
0	0	0	325	135	427	0	0	700	0	343	0	0	0	90	0	487	803	0	0	0	0	0	93	113
0	570	0	0	0	0	979	809	0	494	0	0	0	0	988	0	608	632	704	174	0	0	404	0	41
0	294	0	0	0	0	745	381	697	689	0	705	97	0	0	0	868	0	0	0	0	404	0	0	695
372	960	511	985	155	0	0	181	682	770	0	0	589	0	650	885	69	905	324	584	93	0	0	0	0
956	10	0	588	0	535	0	0	0	819	944	791	266	0	942	617	0	529	0	0	113	41	695	0	0
